anno_label,parametro,provincia,comune,giorni_presenti,giorni_attesi,completezza_pct
2025-2026,PM10,LC,Merate,312,511,61.1
2025-2026,PM10,SO,Mese,407,511,79.6
2025-2026,PM10,MB,Mezzago,394,511,77.1
2025-2026,PM10,BG,Mezzoldo,468,511,91.6
2025-2026,PM10,BG,Misano Di Gera D'Adda,468,511,91.6
2025-2026,PM10,MB,Misinto,394,511,77.1
2025-2026,PM10,LC,Missaglia,312,511,61.1
2025-2026,PM10,LC,Moggio,308,511,60.3
2025-2026,PM10,BG,Moio De' Calvi,468,511,91.6
2025-2026,PM10,LC,Molteno,312,511,61.1
2025-2026,PM10,BG,Monasterolo Del Castello,468,511,91.6
2025-2026,PM10,BS,Monno,469,511,91.8
2025-2026,PM10,SO,Montagna In Valtellina,406,511,79.5
2025-2026,PM10,LC,Monte Marenzo,312,511,61.1
2025-2026,PM10,BG,Montello,468,511,91.6
2025-2026,PM10,CO,Montemezzo,467,511,91.4
2025-2026,PM10,LC,Montevecchia,307,511,60.1
2025-2026,PM10,LC,Monticello Brianza,307,511,60.1
2025-2026,PM10,MB,Monza,394,511,77.1
2025-2026,PM10,SO,Morbegno,407,511,79.6
2025-2026,PM10,BG,Morengo,469,511,91.8
2025-2026,PM10,BG,Mornico Al Serio,468,511,91.6
2025-2026,PM10,LC,Morterone,313,511,61.3
2025-2026,PM10,BG,Mozzanica,469,511,91.8
2025-2026,PM10,BG,Mozzo,469,511,91.8
2025-2026,PM10,MB,Muggiò,393,511,76.9
2025-2026,PM10,CO,Musso,468,511,91.6
2025-2026,PM10,BG,Nembro,469,511,91.8
2025-2026,PM10,BS,Niardo,406,511,79.5
2025-2026,PM10,LC,Nibionno,307,511,60.1
2025-2026,PM10,MB,Nova Milanese,406,511,79.5
2025-2026,PM10,SO,Novate Mezzola,408,511,79.8
2025-2026,PM10,LC,Oggiono,306,511,59.9
2025-2026,PM10,LC,Olgiate Molgora,306,511,59.9
2025-2026,PM10,LC,Olginate,306,511,59.9
2025-2026,PM10,LC,Oliveto Lario,307,511,60.1
2025-2026,PM10,BG,Olmo Al Brembo,469,511,91.8
2025-2026,PM10,BG,Oltre Il Colle,469,511,91.8
2025-2026,PM10,BG,Oltressenda Alta,468,511,91.6
2025-2026,PM10,BG,Oneta,469,511,91.8
2025-2026,PM10,BS,Ono San Pietro,405,511,79.3
2025-2026,PM10,BG,Onore,464,511,90.8
2025-2026,PM10,BG,Orio Al Serio,469,511,91.8
2025-2026,PM10,MB,Ornago,402,511,78.7
2025-2026,PM10,BG,Ornica,469,511,91.8
2025-2026,PM10,BG,Osio Sopra,468,511,91.6
2025-2026,PM10,BG,Osio Sotto,469,511,91.8
2025-2026,PM10,LC,Osnago,306,511,59.9
2025-2026,PM10,BS,Ossimo,469,511,91.8
2025-2026,PM10,LC,Paderno D'Adda,306,511,59.9
2025-2026,PM10,BG,Pagazzano,468,511,91.6
2025-2026,PM10,LC,Pagnona,398,511,77.9
2025-2026,PM10,BS,Paisco Loveno,470,511,92.0
