giorno,ATS,parametro,valore_medio,n_misure
2021-03-27,ATS_Bergamo,NO2,22.74,216
2021-03-27,ATS_Bergamo,PM10,45.25,8
2021-03-27,ATS_Bergamo,PM25,28.4,5
2021-03-27,ATS_Montagna,NO2,30.02,192
2021-03-27,ATS_Montagna,PM10,48.0,7
2021-03-27,ATS_Montagna,PM25,34.33,3
2021-03-28,ATS_Bergamo,NO2,15.44,216
2021-03-28,ATS_Bergamo,PM10,26.88,8
2021-03-28,ATS_Bergamo,PM25,18.6,5
2021-03-28,ATS_Montagna,NO2,20.81,192
2021-03-28,ATS_Montagna,PM10,32.29,7
2021-03-28,ATS_Montagna,PM25,21.33,3
